Instant,Hour,Normalised,Holiday_0,Holiday_1,Holiday_2,Holiday_3,Holiday_4
1,0,2,1,0,0,0,0
2,1,2,1,0,0,0,0
3,2,2,1,0,0,0,0
4,3,2,1,0,0,0,0
5,4,2,1,0,0,0,0
6,5,2,1,0,0,0,0
7,6,20,1,0,0,0,0
8,7,40,1,0,0,0,0
9,8,88,1,0,0,0,0
10,9,90,1,0,0,0,0
11,10,100,1,0,0,0,0
12,11,100,1,0,0,0,0
13,12,100,1,0,0,0,0
14,13,100,1,0,0,0,0
15,14,100,1,0,0,0,0
16,15,97,1,0,0,0,0
17,16,95,1,0,0,0,0
18,17,94,1,0,0,0,0
19,18,86,1,0,0,0,0
20,19,72,1,0,0,0,0
21,20,70,1,0,0,0,0
22,21,63,1,0,0,0,0
23,22,20,1,0,0,0,0
24,23,5,1,0,0,0,0
25,0,5,1,0,0,0,0
26,1,5,1,0,0,0,0
27,2,5,1,0,0,0,0
28,3,5,1,0,0,0,0
29,4,5,1,0,0,0,0
30,5,5,1,0,0,0,0
31,6,30,1,0,0,0,0
32,7,40,1,0,0,0,0
33,8,80,1,0,0,0,0
34,9,90,1,0,0,0,0
35,10,100,1,0,0,0,0
36,11,100,1,0,0,0,0
37,12,100,1,0,0,0,0
38,13,100,1,0,0,0,0
39,14,100,1,0,0,0,0
40,15,100,1,0,0,0,0
41,16,98,1,0,0,0,0
42,17,97,1,0,0,0,0
43,18,92,1,0,0,0,0
44,19,90,1,0,0,0,0
45,20,88,1,0,0,0,0
46,21,70,1,0,0,0,0
47,22,20,1,0,0,0,0
48,23,8,1,0,0,0,0
49,0,3,1,0,0,0,0
50,1,3,1,0,0,0,0
51,2,3,1,0,0,0,0
52,3,3,1,0,0,0,0
53,4,3,1,0,0,0,0
54,5,3,1,0,0,0,0
55,6,22,1,0,0,0,0
56,7,36,1,0,0,0,0
57,8,89,1,0,0,0,0
58,9,91,1,0,0,0,0
59,10,100,1,0,0,0,0
60,11,100,1,0,0,0,0
61,12,100,1,0,0,0,0
62,13,100,1,0,0,0,0
63,14,100,1,0,0,0,0
64,15,96,1,0,0,0,0
65,16,94,1,0,0,0,0
66,17,92,1,0,0,0,0
67,18,86,1,0,0,0,0
68,19,72,1,0,0,0,0
69,20,70,1,0,0,0,0
70,21,63,1,0,0,0,0
71,22,20,1,0,0,0,0
72,23,5,1,0,0,0,0
73,0,5,0,1,0,0,0
74,1,5,0,1,0,0,0
75,2,5,0,1,0,0,0
76,3,5,0,1,0,0,0
77,4,5,0,1,0,0,0
78,5,5,0,1,0,0,0
79,6,20,0,1,0,0,0
80,7,30,0,1,0,0,0
81,8,40,0,1,0,0,0
82,9,50,0,1,0,0,0
83,10,60,0,1,0,0,0
84,11,70,0,1,0,0,0
85,12,80,0,1,0,0,0
86,13,80,0,1,0,0,0
87,14,80,0,1,0,0,0
88,15,80,0,1,0,0,0
89,16,80,0,1,0,0,0
90,17,62,0,1,0,0,0
91,18,40,0,1,0,0,0
92,19,28,0,1,0,0,0
93,20,20,0,1,0,0,0
94,21,10,0,1,0,0,0
95,22,4,0,1,0,0,0
96,23,4,0,1,0,0,0
97,0,4,0,1,0,0,0
98,1,4,0,1,0,0,0
99,2,4,0,1,0,0,0
100,3,4,0,1,0,0,0
101,4,4,0,1,0,0,0
102,5,4,0,1,0,0,0
103,6,10,0,1,0,0,0
104,7,20,0,1,0,0,0
105,8,40,0,1,0,0,0
106,9,45,0,1,0,0,0
107,10,55,0,1,0,0,0
108,11,55,0,1,0,0,0
109,12,55,0,1,0,0,0
110,13,55,0,1,0,0,0
111,14,55,0,1,0,0,0
112,15,55,0,1,0,0,0
113,16,44,0,1,0,0,0
114,17,32,0,1,0,0,0
115,18,30,0,1,0,0,0
116,19,22,0,1,0,0,0
117,20,20,0,1,0,0,0
118,21,10,0,1,0,0,0
119,22,3,0,1,0,0,0
120,23,3,0,1,0,0,0
121,0,3,1,0,0,0,0
122,1,3,1,0,0,0,0
123,2,3,1,0,0,0,0
124,3,3,1,0,0,0,0
125,4,3,1,0,0,0,0
126,5,3,1,0,0,0,0
127,6,20,1,0,0,0,0
128,7,40,1,0,0,0,0
129,8,88,1,0,0,0,0
130,9,90,1,0,0,0,0
131,10,100,1,0,0,0,0
132,11,100,1,0,0,0,0
133,12,100,1,0,0,0,0
134,13,100,1,0,0,0,0
135,14,100,1,0,0,0,0
136,15,97,1,0,0,0,0
137,16,95,1,0,0,0,0
138,17,94,1,0,0,0,0
139,18,86,1,0,0,0,0
140,19,72,1,0,0,0,0
141,20,70,1,0,0,0,0
142,21,63,1,0,0,0,0
143,22,20,1,0,0,0,0
144,23,5,1,0,0,0,0
145,0,5,1,0,0,0,0
146,1,5,1,0,0,0,0
147,2,5,1,0,0,0,0
148,3,5,1,0,0,0,0
149,4,5,1,0,0,0,0
150,5,5,1,0,0,0,0
151,6,20,1,0,0,0,0
152,7,30,1,0,0,0,0
153,8,70,1,0,0,0,0
154,9,90,1,0,0,0,0
155,10,100,1,0,0,0,0
156,11,100,1,0,0,0,0
157,12,100,1,0,0,0,0
158,13,100,1,0,0,0,0
159,14,100,1,0,0,0,0
160,15,100,1,0,0,0,0
161,16,95,1,0,0,0,0
162,17,92,1,0,0,0,0
163,18,86,1,0,0,0,0
164,19,70,1,0,0,0,0
165,20,40,1,0,0,0,0
166,21,20,1,0,0,0,0
167,22,3,1,0,0,0,0
168,23,3,1,0,0,0,0
169,0,3,1,0,0,0,0
170,1,3,1,0,0,0,0
171,2,3,1,0,0,0,0
172,3,3,1,0,0,0,0
173,4,3,1,0,0,0,0
174,5,3,1,0,0,0,0
175,6,20,1,0,0,0,0
